SampleName,Sex,BiosampleID,PopulationCode,PopulationName,SuperpopulationCode,SuperpopulationName
NA20863,male,SAME123805,GIH,Gujarati,SAS,South Asian Ancestry
NA20890,male,SAME123671,GIH,Gujarati,SAS,South Asian Ancestry
HG04062,female,SAME1839147,ITU,Telugu,SAS,South Asian Ancestry
HG02490,male,SAME1839625,PJL,Punjabi,SAS,South Asian Ancestry
NA20813,female,SAME125189,TSI,Toscani,EUR,European Ancestry
HG02154,female,SAME124794,CDX,Dai Chinese,EAS,East Asian Ancestry
NA20876,female,SAME123599,GIH,Gujarati,SAS,South Asian Ancestry
NA20883,male,SAME123883,GIH,Gujarati,SAS,South Asian Ancestry
HG03963,male,SAME1840055,ITU,Telugu,SAS,South Asian Ancestry
NA20775,female,SAME124573,TSI,Toscani,EUR,European Ancestry
HG02178,female,SAME124414,CDX,Dai Chinese,EAS,East Asian Ancestry
HG03968,female,SAME1840077,ITU,Telugu,SAS,South Asian Ancestry
NA20787,male,SAME123609,TSI,Toscani,EUR,European Ancestry
HG02382,male,SAME1840025,CDX,Dai Chinese,EAS,East Asian Ancestry
NA20356,male,SAME124598,ASW,African Ancestry SW,AFR,African Ancestry
NA20585,female,SAME122861,TSI,Toscani,EUR,European Ancestry
NA20332,female,SAME124198,ASW,African Ancestry SW,AFR,African Ancestry
HG02402,male,SAME1839412,CDX,Dai Chinese,EAS,East Asian Ancestry
HG02661,female,SAME1839667,PJL,Punjabi,SAS,South Asian Ancestry
NA20534,male,SAME124165,TSI,Toscani,EUR,European Ancestry
NA20539,male,SAME124164,TSI,Toscani,EUR,European Ancestry
NA20530,female,SAME124169,TSI,Toscani,EUR,European Ancestry
HG02678,male,SAME1839477,GWD,Gambian Mandinka,AFR,African Ancestry
HG03925,female,SAME1839025,BEB,Bengali,SAS,South Asian Ancestry
NA20298,male,SAME124382,ASW,African Ancestry SW,AFR,African Ancestry
HG02685,female,SAME1839286,PJL,Punjabi,SAS,South Asian Ancestry
HG04194,male,SAME1839818,BEB,Bengali,SAS,South Asian Ancestry
HG02971,male,SAME1840255,ESN,Esan,AFR,African Ancestry
HG03836,female,SAME1839280,STU,Tamil,SAS,South Asian Ancestry
HG02976,female,SAME1840223,ESN,Esan,AFR,African Ancestry
HG03848,male,SAME1839187,STU,Tamil,SAS,South Asian Ancestry
NA20801,male,SAME125365,TSI,Toscani,EUR,European Ancestry
HG02983,female,SAME1840009,GWD,Gambian Mandinka,AFR,African Ancestry
HG03862,female,SAME1840158,ITU,Telugu,SAS,South Asian Ancestry
NA21103,female,SAME124439,GIH,Gujarati,SAS,South Asian Ancestry
HG02697,female,SAME1839142,PJL,Punjabi,SAS,South Asian Ancestry
NA18499,female,SAME124059,YRI,Yoruba,AFR,African Ancestry
NA20762,male,SAME124744,TSI,Toscani,EUR,European Ancestry
NA18502,female,SAME125055,YRI,Yoruba,AFR,African Ancestry
NA21110,female,SAME124180,GIH,Gujarati,SAS,South Asian Ancestry
HG02724,male,SAME1839740,PJL,"Punjabi,Punjabi",SAS,"South Asia (SGDP),South Asian Ancestry"
NA21126,male,SAME124026,GIH,Gujarati,SAS,South Asian Ancestry
NA21127,male,SAME124027,GIH,Gujarati,SAS,South Asian Ancestry
NA18526,female,SAME124673,CHB,Han Chinese,EAS,East Asian Ancestry
HG02577,female,SAME1839642,ACB,African Caribbean,AFR,African Ancestry
NA20899,female,SAME123140,GIH,Gujarati,SAS,South Asian Ancestry
HG02604,female,SAME1840282,PJL,Punjabi,SAS,South Asian Ancestry
NA07048,male,SAME124188,CEU,CEPH,EUR,European Ancestry
HG02611,female,SAME1840401,GWD,Gambian Mandinka,AFR,African Ancestry
NA21099,male,SAME123325,GIH,Gujarati,SAS,South Asian Ancestry
NA21102,female,SAME124438,GIH,Gujarati,SAS,South Asian Ancestry
NA21114,male,SAME124184,GIH,Gujarati,SAS,South Asian Ancestry
NA12802,female,SAME122828,CEU,CEPH,EUR,European Ancestry
HG02635,female,SAME1840023,GWD,Gambian Mandinka,AFR,African Ancestry
NA12376,female,SAME123275,CEU,CEPH,EUR,European Ancestry
HG02793,female,SAME1840415,PJL,Punjabi,SAS,South Asian Ancestry
NA12890,female,SAME124116,CEU,CEPH,EUR,European Ancestry
NA10851,male,SAME125317,CEU,CEPH,EUR,European Ancestry
NA10856,male,SAME124935,CEU,CEPH,EUR,European Ancestry
HG02781,female,SAME1839167,PJL,Punjabi,SAS,South Asian Ancestry
HG02938,male,SAME1839284,ESN,Esan,AFR,African Ancestry
HG03241,female,SAME1839053,GWD,Gambian Mandinka,AFR,African Ancestry
HG03258,male,SAME1840296,GWD,Gambian Mandinka,AFR,African Ancestry
HG03265,male,SAME1840167,ESN,Esan,AFR,African Ancestry
NA18538,female,SAME123774,CHB,Han Chinese,EAS,East Asian Ancestry
NA18552,female,SAME124089,CHB,Han Chinese,EAS,East Asian Ancestry
HG03361,male,SAME1839942,ESN,Esan,AFR,African Ancestry
HG03373,male,SAME1839720,ESN,Esan,AFR,African Ancestry
NA19012,male,SAME124260,JPT,Japanese,EAS,East Asian Ancestry
NA19017,female,SAME124259,LWK,Luhya,AFR,African Ancestry
NA19024,female,SAME124851,LWK,Luhya,AFR,African Ancestry
NA19031,male,SAME123543,LWK,Luhya,AFR,African Ancestry
NA18862,male,SAME125118,YRI,Yoruba,AFR,African Ancestry
HG03133,male,SAME1839375,ESN,Esan,AFR,African Ancestry
NA18867,female,SAME124904,YRI,Yoruba,AFR,African Ancestry
NA18874,male,SAME125105,YRI,Yoruba,AFR,African Ancestry
NA18639,male,SAME124694,CHB,Han Chinese,EAS,East Asian Ancestry
HG03171,female,SAME1840386,ESN,Esan,AFR,African Ancestry
NA18956,female,SAME124110,JPT,Japanese,EAS,East Asian Ancestry
NA18968,female,SAME123953,JPT,Japanese,EAS,East Asian Ancestry
HG03311,male,SAME1839206,ESN,Esan,AFR,African Ancestry
HG03342,female,SAME1840350,ESN,Esan,AFR,African Ancestry
NA18571,female,SAME123740,CHB,Han Chinese,EAS,East Asian Ancestry
HG03114,female,SAME1839907,ESN,Esan,AFR,African Ancestry
NA18595,female,SAME123228,CHB,Han Chinese,EAS,East Asian Ancestry
NA18603,male,SAME124875,CHB,Han Chinese,EAS,East Asian Ancestry
HG03690,female,SAME1840365,STU,Tamil,SAS,South Asian Ancestry
NA18913,male,SAME123403,YRI,Yoruba,AFR,African Ancestry
HG03695,male,SAME1840128,STU,Tamil,SAS,South Asian Ancestry
HG03703,female,SAME1840032,PJL,Punjabi,SAS,South Asian Ancestry
NA18944,male,SAME124314,JPT,Japanese,EAS,East Asian Ancestry
HG03493,female,SAME1839198,ESN,Esan,AFR,African Ancestry
HG03518,male,SAME1840169,ESN,Esan,AFR,African Ancestry
NA19238,female,SAME124999,YRI,Yoruba,AFR,African Ancestry
HG03708,male,SAME1839773,PJL,Punjabi,SAS,South Asian Ancestry
HG03722,female,SAME1839664,ITU,Telugu,SAS,South Asian Ancestry
HG03727,male,SAME1839695,ITU,Telugu,SAS,South Asian Ancestry
NA19310,female,SAME123449,LWK,Luhya,AFR,African Ancestry
HG03741,female,SAME1839251,STU,Tamil,SAS,South Asian Ancestry
HG03746,male,SAME1839200,STU,Tamil,SAS,South Asian Ancestry
NA19391,female,SAME124494,LWK,Luhya,AFR,African Ancestry
HG03753,male,SAME1839062,STU,Tamil,SAS,South Asian Ancestry
HG03760,female,SAME1839105,STU,Tamil,SAS,South Asian Ancestry
NA19086,male,SAME123366,JPT,Japanese,EAS,East Asian Ancestry
HG03607,female,SAME1840254,BEB,Bengali,SAS,South Asian Ancestry
NA19101,male,SAME123955,YRI,Yoruba,AFR,African Ancestry
NA19113,male,SAME123838,YRI,Yoruba,AFR,African Ancestry
HG03633,male,SAME1839571,PJL,Punjabi,SAS,South Asian Ancestry
NA19118,female,SAME122943,YRI,Yoruba,AFR,African Ancestry
HG03455,female,SAME1839766,MSL,Mende,AFR,African Ancestry
HG03462,male,SAME1839817,MSL,Mende,AFR,African Ancestry
NA19137,female,SAME125235,YRI,Yoruba,AFR,African Ancestry
NA19144,male,SAME123373,YRI,Yoruba,AFR,African Ancestry
HG03640,female,SAME1839621,PJL,Punjabi,SAS,South Asian Ancestry
NA19207,male,SAME122984,YRI,Yoruba,AFR,African Ancestry
HG03645,female,SAME1839641,STU,Tamil,SAS,South Asian Ancestry
NA19327,female,SAME123473,LWK,Luhya,AFR,African Ancestry
HG03582,male,SAME1839271,MSL,Mende,AFR,African Ancestry
HG03397,male,SAME1839400,MSL,Mende,AFR,African Ancestry
NA19043,male,SAME125243,LWK,Luhya,AFR,African Ancestry
HG03431,female,SAME1840101,MSL,Mende,AFR,African Ancestry
NA19055,male,SAME125027,JPT,Japanese,EAS,East Asian Ancestry
HG03809,male,SAME1839554,BEB,Bengali,SAS,South Asian Ancestry
HG03816,female,SAME1839424,BEB,Bengali,SAS,South Asian Ancestry
HG03830,male,SAME1839341,BEB,Bengali,SAS,South Asian Ancestry
NA19315,female,SAME123310,LWK,Luhya,AFR,African Ancestry
NA19834,male,SAME125030,ASW,African Ancestry SW,AFR,African Ancestry
NA19904,male,SAME125047,ASW,African Ancestry SW,AFR,African Ancestry
NA19909,female,SAME125052,ASW,African Ancestry SW,AFR,African Ancestry
NA19916,male,SAME125271,ASW,African Ancestry SW,AFR,African Ancestry
NA19707,female,SAME124234,ASW,African Ancestry SW,AFR,African Ancestry
NA19651,female,SAME123123,MXL,Mexican Ancestry,AMR,American Ancestry
HG04131,male,SAME1839279,BEB,Bengali,SAS,South Asian Ancestry
NA19663,female,SAME122961,MXL,Mexican Ancestry,AMR,American Ancestry
NA19675,female,SAME122791,MXL,Mexican Ancestry,AMR,American Ancestry
NA19740,female,SAME124719,MXL,Mexican Ancestry,AMR,American Ancestry
HG03900,male,SAME1839476,STU,Tamil,SAS,South Asian Ancestry
HG03929,male,SAME1839046,BEB,Bengali,SAS,South Asian Ancestry
HG03931,female,SAME1840305,BEB,Bengali,SAS,South Asian Ancestry
HG03842,female,SAME1839160,STU,Tamil,SAS,South Asian Ancestry
NA19985,female,SAME123900,ASW,African Ancestry SW,AFR,African Ancestry
HG03854,male,SAME1840283,STU,Tamil,SAS,South Asian Ancestry
NA20127,female,SAME122884,ASW,African Ancestry SW,AFR,African Ancestry
NA20278,male,SAME123617,ASW,African Ancestry SW,AFR,African Ancestry
HG03784,female,SAME1840210,ITU,Telugu,SAS,South Asian Ancestry
NA20336,female,SAME124194,ASW,African Ancestry SW,AFR,African Ancestry
NA12801,male,SAME122827,CEU,CEPH,EUR,European Ancestry
NA20778,male,SAME124571,TSI,Toscani,EUR,European Ancestry
NA20785,male,SAME123611,TSI,Toscani,EUR,European Ancestry
NA20805,male,SAME125361,TSI,Toscani,EUR,European Ancestry
NA20526,female,SAME124014,TSI,Toscani,EUR,European Ancestry
NA10843,female,SAME124754,CEU,CEPH,EUR,European Ancestry
NA20538,male,SAME124163,TSI,Toscani,EUR,European Ancestry
NA10850,female,SAME124929,CEU,CEPH,EUR,European Ancestry
NA20540,female,SAME125148,TSI,Toscani,EUR,European Ancestry
NA20514,female,SAME124558,TSI,Toscani,EUR,European Ancestry
NA20867,male,SAME123809,GIH,Gujarati,SAS,South Asian Ancestry
NA20348,male,SAME124407,ASW,African Ancestry SW,AFR,African Ancestry
NA20893,female,SAME123668,GIH,Gujarati,SAS,South Asian Ancestry
NA20898,male,SAME123141,GIH,Gujarati,SAS,South Asian Ancestry
NA20901,male,SAME122919,GIH,Gujarati,SAS,South Asian Ancestry
NA20588,male,SAME122866,TSI,Toscani,EUR,European Ancestry
HG04186,female,SAME1839753,BEB,Bengali,SAS,South Asian Ancestry
NA20761,female,SAME124363,TSI,Toscani,EUR,European Ancestry
HG04198,male,SAME1839835,ITU,Telugu,SAS,South Asian Ancestry
NA18498,male,SAME124058,YRI,Yoruba,AFR,African Ancestry
NA21098,male,SAME123324,GIH,Gujarati,SAS,South Asian Ancestry
NA21101,female,SAME124441,GIH,Gujarati,SAS,South Asian Ancestry
NA18520,female,SAME123565,YRI,Yoruba,AFR,African Ancestry
NA18525,female,SAME124672,CHB,Han Chinese,EAS,East Asian Ancestry
NA21113,male,SAME124181,GIH,Gujarati,SAS,South Asian Ancestry
NA18912,female,SAME123404,YRI,Yoruba,AFR,African Ancestry
NA21118,male,SAME123585,GIH,Gujarati,SAS,South Asian Ancestry
NA21120,female,SAME124028,GIH,Gujarati,SAS,South Asian Ancestry
NA18859,male,SAME124731,YRI,Yoruba,AFR,African Ancestry
NA18873,female,SAME123536,YRI,Yoruba,AFR,African Ancestry
NA18621,male,SAME124509,CHB,Han Chinese,EAS,East Asian Ancestry
NA18570,female,SAME123741,CHB,Han Chinese,EAS,East Asian Ancestry
NA18599,female,SAME123713,CHB,Han Chinese,EAS,East Asian Ancestry
NA18532,female,SAME124482,CHB,Han Chinese,EAS,East Asian Ancestry
NA18537,female,SAME124485,CHB,Han Chinese,EAS,East Asian Ancestry
NA18544,male,SAME124265,CHB,Han Chinese,EAS,East Asian Ancestry
NA18974,male,SAME123768,JPT,Japanese,EAS,East Asian Ancestry
NA18981,female,SAME123426,JPT,Japanese,EAS,East Asian Ancestry
NA19080,female,SAME125313,JPT,Japanese,EAS,East Asian Ancestry
NA19011,female,SAME124512,JPT,Japanese,EAS,East Asian Ancestry
NA19028,male,SAME124848,LWK,Luhya,AFR,African Ancestry
NA19129,female,SAME125021,YRI,Yoruba,AFR,African Ancestry
NA19307,male,SAME124981,LWK,Luhya,AFR,African Ancestry
NA19059,female,SAME125023,JPT,Japanese,EAS,East Asian Ancestry
NA19319,male,SAME123438,LWK,Luhya,AFR,African Ancestry
NA18540,female,SAME124269,CHB,Han Chinese,EAS,East Asian Ancestry
NA19679,male,SAME122796,MXL,Mexican Ancestry,AMR,American Ancestry
NA19701,female,SAME124232,ASW,African Ancestry SW,AFR,African Ancestry
NA15725,male,,,Czech,,West Eurasia (SGDP)
NA19720,male,SAME124118,MXL,Mexican Ancestry,AMR,American Ancestry
NA15732,female,,,Czech,,West Eurasia (SGDP)
NA19383,male,SAME124273,LWK,Luhya,AFR,African Ancestry
NA20820,male,,TSI,Toscani,EUR,European Ancestry
NA19403,female,SAME123636,LWK,Luhya,AFR,African Ancestry
NA19439,female,SAME123847,LWK,Luhya,AFR,African Ancestry
NA19655,male,SAME124980,MXL,Mexican Ancestry,AMR,American Ancestry
NA19819,female,SAME124676,ASW,African Ancestry SW,AFR,African Ancestry
NA19908,male,SAME125053,ASW,African Ancestry SW,AFR,African Ancestry
NA19453,male,SAME125413,LWK,Luhya,AFR,African Ancestry
NA19472,female,SAME123120,LWK,Luhya,AFR,African Ancestry
NA19770,female,SAME124068,MXL,Mexican Ancestry,AMR,American Ancestry
NA19782,female,SAME123145,MXL,Mexican Ancestry,AMR,American Ancestry
NA19749,female,SAME124726,MXL,Mexican Ancestry,AMR,American Ancestry
NA19338,female,SAME123274,LWK,Luhya,AFR,African Ancestry
NA19352,male,SAME124075,LWK,Luhya,AFR,African Ancestry
NA20847,female,SAME123432,GIH,Gujarati,SAS,South Asian Ancestry
NA20359,female,SAME124601,ASW,African Ancestry SW,AFR,African Ancestry
NA20520,male,SAME124019,TSI,Toscani,EUR,European Ancestry
NA20525,male,SAME124015,TSI,Toscani,EUR,European Ancestry
NA20532,male,SAME124171,TSI,Toscani,EUR,European Ancestry
NA20289,female,SAME124579,ASW,African Ancestry SW,AFR,African Ancestry
NA20587,female,SAME123481,TSI,Toscani,EUR,European Ancestry
NA20753,female,SAME124178,TSI,Toscani,EUR,European Ancestry
NA20861,male,SAME123807,GIH,Gujarati,SAS,South Asian Ancestry
NA20866,male,SAME123808,GIH,Gujarati,SAS,South Asian Ancestry
NA20873,male,SAME122841,GIH,Gujarati,SAS,South Asian Ancestry
NA20885,male,SAME124525,GIH,Gujarati,SAS,South Asian Ancestry
NA20342,male,SAME124398,ASW,African Ancestry SW,AFR,African Ancestry
NA21117,male,SAME124185,GIH,Gujarati,SAS,South Asian Ancestry
NA21124,male,SAME124024,GIH,Gujarati,SAS,South Asian Ancestry
NA20900,female,SAME122920,GIH,Gujarati,SAS,South Asian Ancestry
NA15729,female,,,Czech,,West Eurasia (SGDP)
NA15728,male,SAMEA3302844,,Czech,,West Eurasia (SGDP)
NA15204,female,,,Hungarian,,West Eurasia (SGDP)
NA15730,female,,,Czech,,West Eurasia (SGDP)
NA18741,female,,CHB,Han Chinese,EAS,East Asian Ancestry
NA19193,female,,YRI,Yoruba,AFR,African Ancestry
