Chromosome,Start,End,RepeatType,strand,Length
1,37733,37861,L2c,1,128
1,37733,37861,L2c,1,128
1,38059,38191,L2a,1,132
1,38059,38191,L2a,1,132
1,38256,39464,MLT1E1A-int,1,1208
1,38256,39464,MLT1E1A-int,1,1208
1,39465,39623,MLT1E1A,1,158
1,39465,39623,MLT1E1A,1,158
1,39624,39924,AluSx,1,300
1,39624,39924,AluSx,1,300
1,39906,39925,dust,0,19
1,39925,40294,MLT1E1A,1,369
1,39925,40294,MLT1E1A,1,369
1,40333,40626,L2a,1,293
1,40333,40626,L2a,1,293
1,40614,40658,dust,0,44
1,40629,40729,AluSz6,-1,100
1,40629,40729,AluSz6,-1,100
1,40736,40878,LTR16C,-1,142
1,40736,40878,LTR16C,-1,142
1,41380,42285,ERVL-E-int,-1,905
1,41380,42285,ERVL-E-int,-1,905
1,42370,42504,MamRep1527,1,134
1,42370,42504,MamRep1527,1,134
1,42750,42785,dust,0,35
1,43243,45753,L1MA8,1,2510
1,43243,44835,L1MA8,1,1592
1,43591,43598,dust,0,7
1,43797,43812,dust,0,15
1,44174,44183,dust,0,9
1,44658,44671,dust,0,13
1,44829,44887,dust,0,58
1,44836,44876,trf,0,40
1,44836,44876,(TAAA)n,1,40
1,44877,45753,L1MA8,1,876
1,45719,45801,dust,0,82
1,45887,45987,L1M5,1,100
1,45887,45987,L1M5,1,100
1,46079,46198,L1MA9,1,119
1,46079,46198,L1MA9,1,119
1,46217,46240,AT_rich,1,23
1,46403,46416,dust,0,13
1,46416,46493,LTR12F,-1,77
1,46416,46493,LTR12F,-1,77
1,46553,46722,MER45A,1,169
1,46553,46722,MER45A,1,169
1,46893,47092,MER58A,-1,199
1,46893,47092,MER58A,-1,199
1,47319,47328,dust,0,9
1,47561,47573,dust,0,12
1,48417,49518,L1PA14,1,1101
1,48417,49518,L1PA14,1,1101
1,48745,48752,dust,0,7
1,49498,49534,dust,0,36
1,49826,49861,dust,0,35
1,49833,49858,trf,0,25
1,50129,50157,AT_rich,1,28
1,50482,50513,dust,0,31
1,50482,50513,trf,0,31
1,50482,50513,(TG)n,1,31
1,50563,50626,dust,0,63
1,50571,50626,T-rich,1,55
1,51585,51880,AluYj4,1,295
1,51585,51880,AluYj4,1,295
1,51865,51877,dust,0,12
1,52138,52243,trf,0,105
1,52140,52194,dust,0,54
1,52146,52166,AT_rich,1,20
1,52155,52222,trf,0,67
1,52209,52240,AT_rich,1,31
1,53745,53780,AT_rich,1,35
1,54465,54806,L2,1,341
1,54465,54712,L2,1,247
1,54711,54820,dust,0,109
1,54713,54817,trf,0,104
1,54713,54820,(TTTC)n,1,107
1,54807,54937,FLAM_A,-1,130
1,54822,54937,FLAM_A,-1,115
1,54939,55608,L2,1,669
1,54939,55608,L2,1,669
1,55338,55350,dust,0,12
1,56975,56995,dust,0,20
1,59056,59208,L2a,-1,152
1,59056,59208,L2a,-1,152
1,59897,59934,trf,0,37
1,60379,60686,MER47A,-1,307
1,60379,60686,MER47A,-1,307
1,61351,61361,dust,0,10
1,61604,61862,L1ME4c,-1,258
1,61604,61862,L1ME4c,-1,258
1,61863,62160,AluSc,-1,297
1,61863,61880,dust,0,17
1,61863,62160,AluSc,-1,297
1,62161,62229,L1ME4c,-1,68
1,62161,62229,L1ME4c,-1,68
1,62232,62256,dust,0,24
1,62232,62256,trf,0,24
1,62232,62256,(CA)n,1,24
1,62500,62559,dust,0,59
1,62597,62665,dust,0,68
1,63986,64012,trf,0,26
1,64426,64666,L1PA4,1,240
1,64426,64666,L1PA4,1,240
1,64508,64529,dust,0,21
1,64658,64666,dust,0,8
1,65977,66134,MIR3,-1,157
1,65977,66134,MIR3,-1,157
1,66158,66236,(TA)n,1,78
1,66160,66629,trf,0,469
1,66161,66630,dust,0,469
1,66161,66630,trf,0,469
1,66164,66632,trf,0,468
1,66237,66415,(TATAA)n,1,178
1,66379,66540,(TTATA)n,1,161
1,66541,66630,(TA)n,1,89
1,66795,66802,dust,0,7
1,67948,67960,dust,0,12
1,67999,68246,MIRb,-1,247
1,67999,68246,MIRb,-1,247
1,68507,68676,T-rich,1,169
1,68614,68658,trf,0,44
1,68619,68671,dust,0,52
1,70342,70367,AT_rich,1,25
1,70352,70395,dust,0,43
1,70504,70712,LTR89,-1,208
1,70504,70712,LTR89,-1,208
1,70723,70955,MIRb,1,232
1,70723,70955,MIRb,1,232
1,71176,71186,dust,0,10
1,71369,71645,L1M5,1,276
1,71369,71645,L1M5,1,276
1,71741,71829,L1M5,1,88
1,71741,71829,L1M5,1,88
1,71847,71861,dust,0,14
1,72090,72164,dust,0,74
1,72090,72164,trf,0,74
1,72090,72164,(TA)n,1,74
1,72121,72164,trf,0,43
1,72185,72525,L1PA7,-1,340
1,72185,72525,L1PA7,-1,340
1,72526,72897,L1PA7,1,371
1,72526,72897,L1PA7,1,371
1,73009,73678,L1PA16,-1,669
1,73009,73678,L1PA16,-1,669
1,73688,73843,L1M5,1,155
1,73688,73843,L1M5,1,155
1,73843,73856,dust,0,13
1,73845,74895,L1PA2,-1,1050
1,73845,74895,L1PA2,-1,1050
1,73985,74007,dust,0,22
1,74898,76697,L1PA2,1,1799
1,74898,76697,L1PA2,1,1799
1,76693,76892,L1MC5a,1,199
1,76693,76892,L1MC5a,1,199
1,76893,77201,AluSz,1,308
1,76893,77201,AluSz,1,308
1,77175,77195,dust,0,20
1,77175,77195,trf,0,20
1,77202,77638,L1MC5a,1,436
1,77202,77638,L1MC5a,1,436
1,77717,78235,L1MC5a,1,518
1,77717,78235,L1MC5a,1,518
1,78232,78283,L1M2,1,51
1,78232,78283,L1M2,1,51
1,78286,78421,AluJr,1,135
1,78286,78421,AluJr,1,135
1,78405,78445,dust,0,40
1,78422,78454,AT_rich,1,32
1,78459,78890,L1M2,1,431
1,78459,78890,L1M2,1,431
1,78891,79850,L1PREC2,1,959
1,78891,79850,L1PREC2,1,959
1,79830,80634,L1PB,1,804
1,79830,80634,L1PB,1,804
1,80620,80627,dust,0,7
1,80712,80804,Tigger5b,1,92
1,80712,80804,Tigger5b,1,92
1,80805,81096,AluSc5,1,291
1,80805,81096,AluSc5,1,291
1,81081,81088,dust,0,7
1,81097,81231,Tigger5b,1,134
1,81097,81231,Tigger5b,1,134
1,81232,81691,Tigger5,1,459
1,81232,81691,Tigger5,1,459
1,81694,82270,L1M5,1,576
1,81694,82270,L1M5,1,576
1,81826,81878,dust,0,52
1,81924,81970,dust,0,46
1,82134,82154,dust,0,20
1,82134,82154,trf,0,20
1,82285,83584,L1M4,1,1299
1,82285,83830,L1M4,1,1545
1,83506,83682,trf,0,176
1,83592,83802,L1M4,1,210
1,83787,84043,dust,0,256
1,83788,84041,trf,0,253
1,83831,84041,(GAAA)n,1,210
1,84042,85700,L1M4,1,1658
1,84076,85700,L1M4,1,1624
1,84098,84105,dust,0,7
1,85700,85986,L1M4,1,286
1,85700,85986,L1M4,1,286
1,85805,85812,dust,0,7
1,86030,86619,L1MC5a,1,589
1,86030,86619,L1MC5a,1,589
1,86818,87087,HAL1M8,1,269
1,86818,87087,HAL1M8,1,269
1,87091,87124,dust,0,33
1,87126,87413,AluJo,-1,287
1,87126,87413,AluJo,-1,287
1,87277,87292,dust,0,15
1,87423,87493,LTR103b_Mam,1,70
1,87423,87493,LTR103b_Mam,1,70
1,87530,87547,dust,0,17
1,87530,87555,AT_rich,1,25
1,88144,88823,L2,1,679
1,88144,88823,L2,1,679
1,88675,88962,trf,0,287
1,88925,89104,L2a,1,179
1,88925,89104,L2a,1,179
1,89107,89174,L2a,1,67
1,89107,89174,L2a,1,67
1,89286,89381,L1M5,-1,95
1,89286,89381,L1M5,-1,95
1,89859,90056,MLT1H2,1,197
1,89859,90056,MLT1H2,1,197
1,90048,90438,trf,0,390
1,90443,90576,MLT1H2,1,133
1,90443,90576,MLT1H2,1,133
1,90921,91213,AluY,1,292
1,90921,91213,AluY,1,292
1,91201,91213,dust,0,12
1,91552,91560,dust,0,8
1,91609,91677,MER4D1,-1,68
1,91609,91677,MER4D1,-1,68
1,91678,91826,MER4A,1,148
1,91678,91826,MER4A,1,148
1,91823,92110,MER4CL34,1,287
1,91823,92110,MER4CL34,1,287
1,92114,92392,MER4D1,-1,278
1,92114,92392,MER4D1,-1,278
1,92210,92243,trf,0,33
1,92553,92783,MIR,1,230
1,92553,92783,MIR,1,230
1,92664,92677,dust,0,13
1,92860,92903,MIR3,1,43
1,92860,92903,MIR3,1,43
1,93159,93421,L5,1,262
1,93159,93421,L5,1,262
1,93721,93753,dust,0,32
1,93729,94031,AluSc,-1,302
1,93729,94031,AluSc,-1,302
1,93731,93753,trf,0,22
1,94078,94355,L2,1,277
1,94078,94355,L2,1,277
1,94520,94816,MLT1H,-1,296
1,94520,94816,MLT1H,-1,296
1,94810,94847,dust,0,37
1,94810,94847,trf,0,37
1,94820,95080,AluY,-1,260
1,94820,95080,AluY,-1,260
1,94997,95019,dust,0,22
1,95000,95020,trf,0,20
1,95539,95569,(CAA)n,1,30
1,97003,97068,dust,0,65
1,97014,97068,(TG)n,1,54
1,97689,97696,dust,0,7
1,97802,98085,MLT1I,1,283
1,97802,98085,MLT1I,1,283
1,98999,99116,dust,0,117
1,99000,99042,(TTTA)n,1,42
1,99041,99088,T-rich,1,47
1,99047,99115,trf,0,68
1,99089,99397,AluSg4,-1,308
1,99089,99397,AluSg4,-1,308
1,99724,99796,L3,1,72
1,99724,99796,L3,1,72
1,99885,100292,MamRep605,-1,407
1,99885,100292,MamRep605,-1,407
1,100344,100421,MamRep605,-1,77
1,100344,100421,MamRep605,-1,77
1,101056,101352,AluSz,1,296
1,101056,101352,AluSz,1,296
1,101336,101348,dust,0,12
1,101404,101690,AluJr,1,286
1,101404,101690,AluJr,1,286
1,101513,101520,dust,0,7
1,101675,101690,dust,0,15
1,101719,101821,L1M5,1,102
1,101719,101821,L1M5,1,102
1,101822,102122,AluSx,1,300
1,101822,102122,AluSx,1,300
1,102110,102152,trf,0,42
1,102123,102194,L1M5,1,71
1,102123,102194,L1M5,1,71
1,102548,102780,MIRb,-1,232
1,102548,102780,MIRb,-1,232
1,102783,102975,L3,1,192
1,102783,102975,L3,1,192
1,102960,102968,dust,0,8
1,102976,103282,AluSx3,1,306
1,102976,103280,AluSx3,1,304
1,103255,103287,dust,0,32
1,103257,103280,trf,0,23
1,103281,103357,L3,1,76
1,103283,103357,L3,1,74
1,103375,103466,LTR33,-1,91
1,103375,103467,LTR33,-1,92
1,103468,103616,MSTB1,1,148
1,103468,103616,MSTB1,1,148
1,103617,103909,AluSq,-1,292
1,103617,103630,dust,0,13
1,103617,103909,AluSq,-1,292
1,103910,104165,MSTB1,1,255
1,103910,104160,MSTB1,1,250
1,104161,104196,dust,0,35
1,104161,104196,trf,0,35
1,104161,104199,(CA)n,1,38
1,104200,104215,MSTB1,1,15
1,104216,104254,LTR33,-1,38
1,104338,104506,LTR33,-1,168
1,104338,104506,LTR33,-1,168
1,104518,105076,L3,1,558
1,104518,105076,L3,1,558
1,105609,105627,dust,0,18
1,105629,105742,L1ME4a,1,113
1,105629,105742,L1ME4a,1,113
1,106430,106531,MER5B,-1,101
1,106430,106531,MER5B,-1,101
1,106929,106951,dust,0,22
1,107481,107773,MLT1C,1,292
1,107481,107773,MLT1C,1,292
1,107778,107869,MIR,-1,91
1,107778,107869,MIR,-1,91
1,107868,108329,L2b,1,461
1,107868,108329,L2b,1,461
1,108330,108564,AluJb,1,234
1,108330,108564,AluJb,1,234
1,108445,108469,trf,0,24
1,108546,108561,dust,0,15
1,108565,108680,L2b,1,115
1,108565,108680,L2b,1,115
1,109543,109620,MER4-int,1,77
1,109565,109614,dust,0,49
1,109565,109614,trf,0,49
1,109565,109614,(TG)n,1,49
1,109772,109813,dust,0,41
1,109775,109813,(CATATA)n,1,38
1,109836,110009,FAM,-1,173
1,109836,110009,FAM,-1,173
1,110086,110944,L1PA14,1,858
1,110086,110944,L1PA14,1,858
1,110190,110198,dust,0,8
1,110923,110956,dust,0,33
1,111003,111049,MIR,-1,46
1,111003,111049,MIR,-1,46
1,111081,111386,AluSq2,1,305
1,111081,111386,AluSq2,1,305
1,111367,111386,dust,0,19
1,111440,111490,trf,0,50
1,112084,112582,L2b,1,498
1,112084,112582,L2b,1,498
1,113692,114101,MLT1F2,1,409
1,113692,114101,MLT1F2,1,409
1,113872,113904,dust,0,32
1,114202,114677,L1ME3E,1,475
1,114202,114677,L1ME3E,1,475
1,114235,114259,dust,0,24
1,114469,114476,dust,0,7
1,114545,114572,dust,0,27
1,115058,115194,LTR33B,1,136
1,115058,115194,LTR33B,1,136
1,115343,115445,L2,-1,102
1,115343,115445,L2,-1,102
1,115577,115714,MER65D,1,137
1,115577,115714,MER65D,1,137
1,115789,116069,MER65D,1,280
1,115789,116069,MER65D,1,280
1,116092,116208,L1M5,-1,116
1,116092,116208,L1M5,-1,116
1,116373,117031,L2a,1,658
1,116373,117031,L2a,1,658
1,117032,117228,L1ME3E,1,196
1,117032,117228,L1ME3E,1,196
1,117222,117608,L1ME3E,1,386
1,117222,117608,L1ME3E,1,386
1,117611,118100,MLT1D,1,489
1,117611,118100,MLT1D,1,489
1,118101,119102,L1ME3E,1,1001
1,118101,119102,L1ME3E,1,1001
1,118812,118865,dust,0,53
1,119284,119343,dust,0,59
1,119434,119479,dust,0,45
1,119435,119479,AT_rich,1,44
1,119528,119579,dust,0,51
1,119564,119944,THE1C,-1,380
1,119564,119944,THE1C,-1,380
1,119871,119897,trf,0,26
1,120345,120352,dust,0,7
1,120508,120517,dust,0,9
1,120968,121135,dust,0,167
1,120968,121135,trf,0,167
1,120969,121135,trf,0,166
1,120969,121135,trf,0,166
1,120969,121135,trf,0,166
1,120976,121135,(TA)n,1,159
1,121270,121565,AluY,-1,295
1,121270,121284,dust,0,14
1,121270,121565,AluY,-1,295
1,121603,121725,dust,0,122
1,121638,121711,AT_rich,1,73
1,123039,123131,dust,0,92
1,123086,123131,(TA)n,1,45
1,123089,123131,trf,0,42
1,123171,123267,L1MA5,1,96
1,123171,123267,L1MA5,1,96
1,123398,123445,trf,0,47
1,123632,123702,L2a,1,70
1,123632,123702,L2a,1,70
1,123709,123821,L2a,1,112
1,123709,123821,L2a,1,112
1,123833,124404,L2c,1,571
1,123833,124404,L2c,1,571
1,124568,124870,AluJb,1,302
1,124568,124870,AluJb,1,302
1,124846,124870,dust,0,24
1,124846,124870,trf,0,24
1,125657,125665,dust,0,8
1,125925,125985,dust,0,60
1,126035,126235,L1MA5,1,200
1,126035,126235,L1MA5,1,200
1,126222,126239,dust,0,17
1,126237,126991,L1M4,1,754
1,126237,126991,L1M4,1,754
1,126453,126461,dust,0,8
1,126937,126993,dust,0,56
1,127133,127160,AT_rich,1,27
1,127136,127143,dust,0,7
1,127548,127657,L2a,-1,109
1,127548,127657,L2a,-1,109
1,127782,128051,AluSz,-1,269
1,127782,128051,AluSz,-1,269
1,128488,128595,L2a,-1,107
1,128488,128595,L2a,-1,107
1,128596,128893,AluSq2,-1,297
1,128596,128611,dust,0,15
1,128596,128893,AluSq2,-1,297
1,128894,129019,L2a,-1,125
1,128894,129019,L2a,-1,125
1,129149,129157,dust,0,8
1,129383,129675,AluSx,-1,292
1,129383,129409,dust,0,26
1,129383,129675,AluSx,-1,292
1,129529,129568,trf,0,39
1,129678,129788,FLAM_C,-1,110
1,129678,129692,dust,0,14
1,129678,129788,FLAM_C,-1,110
1,129789,129891,AluJo,1,102
1,129789,129891,AluJo,1,102
1,129907,129998,L1M2,1,91
1,129907,129998,L1M2,1,91
1,129968,129998,dust,0,30
1,129999,130313,AluSg,1,314
1,129999,130313,AluSg,1,314
1,130285,130300,dust,0,15
1,130314,130748,L1M2,1,434
1,130314,130748,L1M2,1,434
1,130756,130976,AluSq2,1,220
1,130756,130976,AluSq2,1,220
1,130956,130991,dust,0,35
1,130956,130992,trf,0,36
1,130965,130992,trf,0,27
1,130966,130992,trf,0,26
1,134066,134374,AluSg,-1,308
1,134066,134094,dust,0,28
1,134066,134094,trf,0,28
1,134066,134374,AluSg,-1,308
1,134838,134865,dust,0,27
1,136200,137288,trf,0,1088
1,136200,137288,trf,0,1088
1,136200,137288,trf,0,1088
1,137396,137465,trf,0,69
1,138259,138351,trf,0,92
1,138822,138938,trf,0,116
1,138822,138966,trf,0,144
1,139378,139457,trf,0,79
1,139708,140127,MER1A,-1,419
1,139708,140127,MER1A,-1,419
1,140413,140492,FLAM_A,1,79
1,140413,140492,FLAM_A,1,79
1,140495,140784,AluJo,1,289
1,140495,140784,AluJo,1,289
1,140566,140589,trf,0,23
1,140768,140784,dust,0,16
1,140785,141290,MER21C,1,505
1,140785,141290,MER21C,1,505
1,141291,141597,AluJb,-1,306
1,141291,141597,AluJb,-1,306
1,141295,141302,dust,0,7
1,141454,141481,dust,0,27
1,141598,141667,MER21C,1,69
1,141598,141667,MER21C,1,69
1,141668,141970,AluJr,1,302
1,141668,141970,AluJr,1,302
1,141971,142271,MER21C,1,300
1,141971,142271,MER21C,1,300
1,142308,142506,MIRb,1,198
1,142308,142506,MIRb,1,198
1,142766,142869,L2b,1,103
1,142766,142869,L2b,1,103
1,143165,143272,AluJb,-1,107
1,143165,143272,AluJb,-1,107
1,143306,143430,AluJr,1,124
1,143306,143430,AluJr,1,124
1,143444,143875,MER1A,-1,431
1,143444,143875,MER1A,-1,431
1,144178,144228,LTR41,-1,50
1,144178,144234,LTR41,-1,56
1,144235,144525,AluJb,1,290
1,144235,144525,AluJb,1,290
1,144528,144576,dust,0,48
1,144528,144576,trf,0,48
1,144528,144579,(TA)n,1,51
1,144579,144605,LTR41,-1,26
1,144580,144605,LTR41,-1,25
1,144606,144899,AluSp,1,293
1,144606,144899,AluSp,1,293
1,144888,144899,dust,0,11
1,144900,144986,LTR41,-1,86
1,144900,144986,LTR41,-1,86
1,144987,145294,AluJr,1,307
1,144987,145294,AluJr,1,307
1,145107,145114,dust,0,7
1,145274,145294,dust,0,20
1,145655,145884,L2b,1,229
1,145655,145884,L2b,1,229
1,145912,145999,L2b,1,87
1,145912,145999,L2b,1,87
1,146052,146227,MLT1D,1,175
1,146052,146227,MLT1D,1,175
1,146229,146522,AluJr,1,293
1,146229,146522,AluJr,1,293
1,146776,147047,AluJr,1,271
1,146776,147047,AluJr,1,271
1,147038,147047,dust,0,9
1,147060,147161,AluJb,-1,101
1,147062,147156,AluJr4,-1,94
1,147162,147463,AluSx,1,301
1,147162,147431,AluSx,1,269
1,147434,147481,dust,0,47
1,147434,147475,trf,0,41
1,147434,147475,(CAA)n,1,41
1,147435,147478,trf,0,43
1,147476,147535,AluJb,-1,59
1,147480,147535,AluJo,-1,55
1,147592,147601,dust,0,9
1,147595,147625,L1M4,1,30
1,147595,147625,L1MB8,1,30
1,147626,147917,AluJb,1,291
1,147626,147917,AluJb,1,291
1,147908,147917,dust,0,9
1,147918,148005,L1M4,1,87
1,147918,148005,L1MB8,1,87
1,148040,148150,AluJo,-1,110
1,148040,148150,FLAM_A,-1,110
1,148151,148770,L1MB8,1,619
1,148151,148770,L1MB8,1,619
1,148324,148343,trf,0,19
1,148792,149093,AluJr,1,301
1,148792,149093,AluJr,1,301
1,149097,149211,Tigger12,-1,114
1,149097,149211,Tigger12,-1,114
1,149396,149703,AluSq2,1,307
1,149396,149703,AluSq2,1,307
1,149680,149699,dust,0,19
1,149683,149703,trf,0,20
1,149865,150008,LTR37A,-1,143
1,149865,150008,LTR37A,-1,143
1,150154,150449,AluJo,-1,295
1,150154,150449,AluJo,-1,295
1,150317,150330,dust,0,13
1,150450,150476,AT_rich,1,26
1,150452,150490,dust,0,38
1,150478,150612,AluJr,-1,134
1,150478,150612,AluJr,-1,134
1,150712,151315,L2a,1,603
1,150712,151315,L2a,1,603
1,151317,151479,AluJb,-1,162
1,151317,151479,AluJb,-1,162
1,151480,151766,AluSg7,-1,286
1,151480,151497,dust,0,17
1,151480,151766,AluSg7,-1,286
1,151767,151894,AluJb,-1,127
1,151767,151894,AluJb,-1,127
1,151779,151786,dust,0,7
1,151915,152272,MLT1D,-1,357
1,151915,152272,MLT1D,-1,357
1,152276,152566,AluJr,1,290
1,152276,152566,AluJr,1,290
1,152567,152825,MER21C,1,258
1,152567,152825,MER21C,1,258
1,152826,153119,AluSq2,-1,293
1,152826,152835,dust,0,9
1,152826,153119,AluSq2,-1,293
1,153120,153429,MER21C,1,309
1,153120,153429,MER21C,1,309
1,153430,153735,AluJo,1,305
1,153430,153735,AluJo,1,305
1,153717,153735,dust,0,18
1,153736,154035,MER21C,1,299
1,153736,154035,MER21C,1,299
1,154037,155099,MER11B,1,1062
1,154037,155099,MER11B,1,1062
1,155145,155339,MIRb,1,194
1,155145,155339,MIRb,1,194
1,155554,155617,(CACCC)n,1,63
1,155561,155614,dust,0,53
1,155855,155869,dust,0,14
1,155994,156015,dust,0,21
1,155995,156114,AluJb,-1,119
1,155995,156114,AluJb,-1,119
1,156117,156417,AluJo,-1,300
1,156117,156417,AluJo,-1,300
1,156280,156298,dust,0,18
1,156457,156597,L1ME4b,1,140
1,156457,156597,L1ME4b,1,140
1,156719,156757,AT_rich,1,38
1,156828,157135,AluJr,1,307
1,156828,157135,AluJr,1,307
1,156946,156964,dust,0,18
1,157108,157121,dust,0,13
1,157183,157358,AluSz,1,175
1,157183,157358,AluSz,1,175
1,157359,157495,L1ME4c,1,136
1,157359,157495,L1ME4c,1,136
1,157496,157503,dust,0,7
1,157499,157618,AluJr4,-1,119
1,157499,157618,AluJr4,-1,119
1,157619,157742,L1ME4c,1,123
1,157619,157742,L1ME4c,1,123
1,157765,157781,dust,0,16
1,158107,158214,MER8,-1,107
1,158107,158214,MER8,-1,107
1,158226,158370,AluJb,1,144
1,158226,158370,AluJb,1,144
1,158713,158996,AluJr,1,283
1,158713,158996,AluJr,1,283
1,158998,159031,dust,0,33
1,158998,159031,trf,0,33
1,158998,159031,(CA)n,1,33
1,159356,159579,AluSx1,1,223
1,159356,159579,AluSx1,1,223
1,160472,160487,dust,0,15
1,161300,161705,L1MC5a,1,405
1,161300,161705,L1MC5a,1,405
1,161568,161576,dust,0,8
1,161716,161807,L1MC5a,1,91
1,161716,161807,L1MC5a,1,91
1,162116,162181,MSTD,-1,65
1,162116,162181,MSTD,-1,65
1,162170,162399,dust,0,229
1,162173,162325,trf,0,152
1,162182,162355,GA-rich,1,173
1,162197,162341,trf,0,144
1,162198,162344,trf,0,146
1,162356,162392,G-rich,1,36
1,162394,162711,MSTD,-1,317
1,162394,162711,MSTD,-1,317
1,163815,163829,dust,0,14
1,163848,164153,AluSq2,1,305
1,163848,164128,AluSq2,1,280
1,164129,164153,dust,0,24
1,164130,164153,trf,0,23
1,164130,164153,(CAAAA)n,1,23
1,164359,164695,AluSq2,1,336
1,164359,164695,AluSq2,1,336
1,164404,164470,trf,0,66
1,164674,164695,dust,0,21
1,164674,164695,trf,0,21
1,164799,164812,dust,0,13
1,165007,165310,AluSx1,1,303
1,165007,165310,AluSx1,1,303
1,165288,165310,dust,0,22
1,165288,165310,trf,0,22
1,166056,166334,AluSx1,1,278
1,166056,166334,AluSx1,1,278
1,166368,166501,MIRb,-1,133
1,166368,166501,MIRb,-1,133
1,166581,166613,dust,0,32
1,167134,167433,AluSp,-1,299
1,167134,167433,AluSp,-1,299
1,167495,167792,AluSg7,1,297
1,167495,167792,AluSg7,1,297
1,167774,167781,dust,0,7
1,168485,168786,AluYh3,1,301
1,168485,168786,AluYh3,1,301
1,168572,168606,dust,0,34
1,168767,168786,dust,0,19
1,168915,169342,MLT1D,1,427
1,168915,169342,MLT1D,1,427
1,169374,169679,AluSz,1,305
1,169374,169679,AluSz,1,305
1,169658,169679,dust,0,21
1,169857,170149,AluSz6,-1,292
1,169857,170149,AluSz6,-1,292
1,169860,169872,dust,0,12
1,170470,170477,dust,0,7
1,170894,170935,Charlie4z,1,41
1,170894,170934,Charlie4z,1,40
1,170935,170956,dust,0,21
1,170935,170954,trf,0,19
1,170935,171236,AluSq2,-1,301
1,170936,171236,AluSq2,-1,300
1,171237,171337,Charlie4z,1,100
1,171237,171337,Charlie4z,1,100
1,171383,171411,trf,0,28
1,172095,172112,dust,0,17
1,172096,172146,AluSq2,-1,50
1,172096,172146,AluSq2,-1,50
1,172407,172489,MIR1_Amn,-1,82
1,172407,172489,MIR1_Amn,-1,82
1,172833,172913,MIRb,-1,80
