Population code	Population elastic ID	Population name	Population description	Population latitude	Population longitude	Superpopulation code	Superpopulation name	Superpopulation display colour	Superpopulation display order	Data collections
KHV	KHV	Kinh Vietnamese	Kinh in Ho Chi Minh City, Vietnam	10.780000	106.680000	EAS	East Asian Ancestry	#778500	3	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,Human Genome Structural Variation Consortium, Phase 2,Human Genome Structural Variation Consortium, Phase 3,1KG_ONT_VIENNA,MAGE RNA-seq,1000 Genomes phase 3 release
FIN	FIN	Finnish	Finnish in Finland	60.170000	24.930000	EUR	European Ancestry	#018ead	4	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,Human Genome Structural Variation Consortium, Phase 2,Human Genome Structural Variation Consortium, Phase 3,1KG_ONT_VIENNA,MAGE RNA-seq,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis
	HungarianSGDP	Hungarian	Hungarian in Hungary (SGDP)	47.500000	19.100000		West Eurasia (SGDP)	#001f54	19	Simons Genome Diversity Project,1KG_ONT_VIENNA
ACB	ACB	African Caribbean	African Caribbean in Barbados	13.100000	-59.620000	AFR	African Ancestry	#ffd845	1	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,Human Genome Structural Variation Consortium, Phase 2,Human Genome Structural Variation Consortium, Phase 3,1KG_ONT_VIENNA,MAGE RNA-seq,1000 Genomes phase 3 release
PUR	PUR	Puerto Rican	Puerto Rican in Puerto Rico	18.400000	-66.100000	AMR	American Ancestry	#710027	2	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,Human Genome Structural Variation Consortium, Phase 2,Human Genome Structural Variation Consortium, Phase 3,1KG_ONT_VIENNA,MAGE RNA-seq,The Human Genome Structural Variation Consortium,1000 Genomes phase 3 release,1000 Genomes phase 1 release
ASW	ASW	African Ancestry SW	African Ancestry in Southwest US	35.483000	-97.533330	AFR	African Ancestry	#ffd845	1	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,Human Genome Structural Variation Consortium, Phase 2,Human Genome Structural Variation Consortium, Phase 3,1KG_ONT_VIENNA,MAGE RNA-seq,1000 Genomes phase 3 release,1000 Genomes phase 1 release
BEB	BEB	Bengali	Bengali in Bangladesh	23.700000	90.350000	SAS	South Asian Ancestry	#c44cfd	5	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,Human Genome Structural Variation Consortium, Phase 2,Human Genome Structural Variation Consortium, Phase 3,1KG_ONT_VIENNA,MAGE RNA-seq,1000 Genomes phase 3 release
CHB	CHB	Han Chinese	Han Chinese in Beijing, China	39.916666	116.383333	EAS	East Asian Ancestry	#778500	3	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,Human Genome Structural Variation Consortium, Phase 2,Human Genome Structural Variation Consortium, Phase 3,1KG_ONT_VIENNA,MAGE RNA-seq,1000 Genomes phase 3 release,1000 Genomes phase 1 release,90 Han Chinese high coverage genomes
JPT	JPT	Japanese	Japanese in Tokyo, Japan	35.680000	139.680000	EAS	East Asian Ancestry	#778500	3	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,Human Genome Structural Variation Consortium, Phase 2,Human Genome Structural Variation Consortium, Phase 3,1KG_ONT_VIENNA,MAGE RNA-seq,1000 Genomes phase 3 release,1000 Genomes phase 1 release
YRI	YRI	Yoruba	Yoruba in Ibadan, Nigeria	7.400000	3.920000	AFR	African Ancestry	#ffd845	1	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,Human Genome Structural Variation Consortium, Phase 2,Human Genome Structural Variation Consortium, Phase 3,1KG_ONT_VIENNA,MAGE RNA-seq,The Human Genome Structural Variation Consortium,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis
LWK	LWK	Luhya	Luhya in Webuye, Kenya	-1.270000	36.610000	AFR	African Ancestry	#ffd845	1	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,Human Genome Structural Variation Consortium, Phase 2,Human Genome Structural Variation Consortium, Phase 3,1KG_ONT_VIENNA,MAGE RNA-seq,1000 Genomes phase 3 release,1000 Genomes phase 1 release
CEU	CEU	CEPH	Utah residents (CEPH) with Northern and Western European ancestry	40.767000	-111.890400	EUR	European Ancestry	#018ead	4	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,Human Genome Structural Variation Consortium, Phase 2,Human Genome Structural Variation Consortium, Phase 3,1KG_ONT_VIENNA,MAGE RNA-seq,Illumina Platinum pedigree,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis
CDX	CDX	Dai Chinese	Chinese Dai in Xishuangbanna, China	22.000000	100.780000	EAS	East Asian Ancestry	#778500	3	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,Human Genome Structural Variation Consortium, Phase 2,Human Genome Structural Variation Consortium, Phase 3,1KG_ONT_VIENNA,MAGE RNA-seq,1000 Genomes phase 3 release
GIH	GIH	Gujarati	Gujarati Indians in Houston, TX	29.758900	-95.367700	SAS	South Asian Ancestry	#c44cfd	5	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,Human Genome Structural Variation Consortium, Phase 2,Human Genome Structural Variation Consortium, Phase 3,1KG_ONT_VIENNA,MAGE RNA-seq,1000 Genomes phase 3 release
STU	STU	Tamil	Sri Lankan Tamil in the UK	52.486243	-1.890401	SAS	South Asian Ancestry	#c44cfd	5	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,Human Genome Structural Variation Consortium, Phase 2,Human Genome Structural Variation Consortium, Phase 3,1KG_ONT_VIENNA,MAGE RNA-seq,1000 Genomes phase 3 release
ITU	ITU	Telugu	Indian Telugu in the UK	52.486243	-1.890401	SAS	South Asian Ancestry	#c44cfd	5	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,Human Genome Structural Variation Consortium, Phase 2,Human Genome Structural Variation Consortium, Phase 3,1KG_ONT_VIENNA,MAGE RNA-seq,1000 Genomes phase 3 release
	CzechSGDP	Czech	Czech in Czechoslovakia(pre1989) (SGDP)	50.100000	14.400000		West Eurasia (SGDP)	#001f54	19	Simons Genome Diversity Project,1KG_ONT_VIENNA
GBR	GBR	British	British in England and Scotland	52.486243	-1.890401	EUR	European Ancestry	#018ead	4	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,Human Genome Structural Variation Consortium, Phase 2,Human Genome Structural Variation Consortium, Phase 3,1KG_ONT_VIENNA,MAGE RNA-seq,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis
